,No,year,month,day,hour,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
26304,26305,2013,1,1,0,4.0,83.0,78.0,83.0,3.7,91.0,1014.2,5.0,NW,1.9,0.0,0.0
26305,26306,2013,1,1,1,4.0,95.0,70.0,95.0,4.2,88.0,1014.2,6.0,NW,3.4,0.0,0.0
26307,26308,2013,1,1,3,4.0,55.0,66.0,55.0,3.5,76.0,1013.9,7.5,NW,5.8,0.0,0.0
26308,26309,2013,1,1,4,4.0,60.0,69.0,60.0,2.7,69.0,1013.9,8.0,NW,8.2,0.0,0.0
26309,26310,2013,1,1,5,4.0,41.0,51.0,41.0,1.5,62.0,1014.2,8.4,NW,9.0,0.0,0.0
26310,26311,2013,1,1,6,4.0,42.0,39.0,42.0,2.3,66.0,1014.3,8.3,NW,11.4,0.0,0.0
26311,26312,2013,1,1,7,4.0,40.0,37.0,40.0,2.9,69.0,1014.3,8.2,NE,2.0,0.0,0.0
26312,26313,2013,1,1,8,4.0,40.0,38.0,40.0,1.7,61.0,1014.8,8.8,NE,4.1,0.0,0.0
26313,26314,2013,1,1,9,4.0,35.0,34.0,35.0,0.4,51.0,1015.3,10.1,NE,6.0,0.0,0.0
26314,26315,2013,1,1,10,4.0,42.0,34.0,42.0,1.3,52.0,1015.3,10.8,NW,1.1,0.0,0.0
26315,26316,2013,1,1,11,4.0,48.0,28.0,48.0,0.7,46.0,1015.2,12.0,NW,4.1,0.0,0.0
26317,26318,2013,1,1,13,4.0,62.0,49.0,62.0,0.1,42.0,1012.6,12.7,NE,1.5,0.0,0.0
26318,26319,2013,1,1,14,4.0,51.0,60.0,51.0,1.1,44.0,1011.6,13.1,NE,3.7,0.0,0.0
26319,26320,2013,1,1,15,4.0,49.0,50.0,49.0,1.1,43.0,1011.2,13.4,NE,5.5,0.0,0.0
26320,26321,2013,1,1,16,4.0,57.0,52.0,57.0,1.6,46.0,1011.4,12.9,NE,7.1,0.0,0.0
26321,26322,2013,1,1,17,4.0,60.0,52.0,60.0,3.0,52.0,1011.5,12.6,NE,8.5,0.0,0.0
26322,26323,2013,1,1,18,4.0,61.0,51.0,61.0,5.1,62.0,1012.0,12.2,cv,0.0,0.0,0.0
26323,26324,2013,1,1,19,4.0,72.0,57.0,72.0,6.3,72.0,1012.4,11.2,NW,1.2,0.0,0.0
